Video ID,Playlist Video Creation Timestamp
BPevXhntUvI,2018-09-02T14:18:47+00:00
 -XY6alp2SdI,2018-09-02T14:19:29+00:00
eXBNx9JL-_w,2018-09-02T14:19:29+00:00
9ojfM7xhTZk,2018-09-02T14:20:20+00:00
3vdhuHmjrw8,2018-09-02T14:20:20+00:00
w4FDH1AdcAo,2018-09-02T14:20:20+00:00
3PSifw8QrGM,2018-09-02T14:20:20+00:00
9t9Xrw6dOPc,2018-09-02T14:20:20+00:00
ZHUN6BP4W-4,2018-09-02T14:20:20+00:00
WxIRFf-u_Bs,2018-09-02T14:20:20+00:00
5p1KZAp0H-g,2018-09-02T14:21:04+00:00
sfQGCIcpfdU,2018-09-02T14:21:38+00:00
rk54Jr3Yvto,2018-09-02T14:21:38+00:00
aQIhNPL_EAc,2018-09-02T14:21:38+00:00
qZmIN2Ct_H8,2018-09-02T14:21:38+00:00
4QOkcGwjVow,2018-09-02T14:22:20+00:00
Ifgsg_sh3gs,2018-09-02T14:22:20+00:00
SmXbCBAHTfo,2018-09-02T14:22:20+00:00
KFjKtWMJSkM,2018-09-02T14:22:20+00:00
q6i3LgOjyGY,2018-09-02T14:22:20+00:00
GD4sArxRmX8,2018-09-02T14:22:20+00:00
9ssQKlLxBdQ,2018-09-02T14:22:54+00:00
Kx7B-XvmFtE,2018-09-02T14:22:54+00:00
J1aVXLHQRd4,2018-09-02T14:22:54+00:00
3Yb2-CWjrME,2018-09-02T14:22:54+00:00
imLrtJ2o5Ik,2018-09-02T14:22:54+00:00
3Nn4JqTNB9g,2018-09-02T14:22:54+00:00
PkjaBCLOAec,2018-09-02T14:23:33+00:00
ORrFJ63nlcA,2018-09-02T14:23:31+00:00
K0WAS1pyocY,2018-09-02T14:23:31+00:00
r7zTKRonHXM,2018-09-02T14:23:31+00:00
Dfiw7EmRTC4,2018-09-02T14:24:08+00:00
X2TYH_qTGv8,2018-09-02T14:24:08+00:00
le5BL1KJiOg,2018-09-02T14:24:43+00:00
XvOZd-x4Kng,2018-09-02T14:24:43+00:00
ae7AACP1-R0,2018-09-02T14:31:20+00:00





